familia_original;n_itens;familia_modelo
FAMILIA_13;935491;FAMILIA_13
FAMILIA_02;3033;FAMILIA_02
FAMILIA_10;2784;FAMILIA_10
FAMILIA_07;2614;FAMILIA_07
FAMILIA_19;1733;FAMILIA_19
FAMILIA_16;1222;FAMILIA_16
FAMILIA_05;478;FAMILIA_05
FAMILIA_09;469;FAMILIA_09
FAMILIA_14;427;FAMILIA_14
FAMILIA_18;379;FAMILIA_18
FAMILIA_12;261;FAMILIA_12
FAMILIA_17;176;FAMILIA_17
FAMILIA_08;68;FAMILIAS_RARAS_MENOS_100
FAMILIA_11;63;FAMILIAS_RARAS_MENOS_100
FAMILIA_00;47;FAMILIAS_RARAS_MENOS_100
FAMILIA_01;32;FAMILIAS_RARAS_MENOS_100
FAMILIA_04;20;FAMILIAS_RARAS_MENOS_100
FAMILIA_06;12;FAMILIAS_RARAS_MENOS_100
FAMILIA_15;12;FAMILIAS_RARAS_MENOS_100
FAMILIA_03;8;FAMILIAS_RARAS_MENOS_100
