termo;variavel;categoria;referencia;unidade;escala_numerica;centro;imputados;mediana_imputacao;beta_log_odds;erro_padrao_cluster;z;p_valor;beta_ic95_inferior;beta_ic95_superior;odds_ratio;or_ic95_inferior;or_ic95_superior;significativo_5pct
const;Intercepto;;;"intercepto; numericas centradas";1.0;0.0;0;;-2.320532780399589;0.05408485167776054;-42.9054108204901;0.0;-2.42653714179719;-2.214528419001988;0.09822124130939958;0.08834222010190007;0.10920500111080866;True
valor_cotado_log;valor_cotado_log;;;log(1 + valor cotado);1.0;3.5901418168741475;16;3.260401571696699;0.004547367793071794;0.008925476885887292;0.5094817734906648;0.6104145708356998;-0.012946245448112017;0.022040981034255606;1.0045577227599924;0.9871371967117822;1.0222856779364;False
descricao_tam_caracteres;descricao_tam_caracteres;;;100 caracteres adicionais;100.0;152.0835210975331;0;66.0;0.029890584452103918;0.024276627976422067;1.231249433864301;0.21822958776195078;-0.017690732047760827;0.07747190095196867;1.0303417923740557;0.9824648302646041;1.0805518695530945;False
descricao_qtd_palavras;descricao_qtd_palavras;;;10 palavras adicionais;10.0;23.265825651591808;0;11.0;-0.017258707303352418;0.018829113365597405;-0.9165969192625782;0.3593538993233377;-0.0541630913607451;0.01964567675404026;0.9828893710812551;0.9472776011099251;1.0198399230094315;False
qtd_itens_lote;qtd_itens_lote;;;10 itens adicionais no lote;10.0;29.01359275867481;0;1.0;-0.018896243943678396;0.01448393536741232;-1.304634649654224;0.19201728375597416;-0.04728423561821246;0.009491747730855666;0.9812811708255137;0.9538162505057435;1.0095369372309648;False
InfoReq;InfoReq;;;exigencia de informacao: 1 versus 0;1.0;0.02287510441585583;0;0.0;-0.12445143360230114;0.24709444369550249;-0.5036593771232839;0.6145007594130616;-0.6087476440254462;0.3598447768208439;0.8829811435384411;0.5440317640541193;1.433106945878429;False
ArqReq;ArqReq;;;exigencia de arquivo: 1 versus 0;1.0;0.021237105366000618;0;0.0;0.04545906162179676;0.34475643577195664;0.13185848589021326;0.8950962253010721;-0.6302511359296346;0.7211692591732282;1.0465081613900848;0.5324580648635138;2.056836780445397;False
Regiao[Centro-Oeste];Regiao;Centro-Oeste;Sudeste;categoria versus referencia;1.0;0.0;0;;-0.26339756745919174;0.07649414407990718;-3.443369039910321;0.000574514764915402;-0.4133233348840276;-0.11347180003435589;0.7684363312938495;0.661448378913527;0.8927293709938137;True
Regiao[Nordeste];Regiao;Nordeste;Sudeste;categoria versus referencia;1.0;0.0;0;;-0.6941711322558365;0.15720951094441937;-4.415579745052812;1.0073963272866972e-05;-1.0022961117340539;-0.38604615277761906;0.49948828618188035;0.3670357178820088;0.6797391531063887;True
Regiao[Norte];Regiao;Norte;Sudeste;categoria versus referencia;1.0;0.0;0;;-1.1700986432430467;0.33737696085115687;-3.4682233199654315;0.0005239117121688667;-1.8313453357248939;-0.5088519507611995;0.3103363271738256;0.1601979027751299;0.6011853731876148;True
