termo;variavel;categoria;referencia;unidade;escala_numerica;centro;imputados;mediana_imputacao;beta_log_odds;erro_padrao_cluster;z;p_valor;beta_ic95_inferior;beta_ic95_superior;odds_ratio;or_ic95_inferior;or_ic95_superior;significativo_5pct
const;Intercepto;;;"intercepto; numericas centradas";1.0;0.0;0;;-2.320144191666162;0.057317447855131765;-40.47884681694588;0.0;-2.432484325147973;-2.207804058184351;0.0982594163938791;0.08781839191640914;0.1099418094475682;True
valor_cotado_log;valor_cotado_log;;;log(1 + valor cotado);1.0;3.5901418168741475;16;3.260401571696699;0.006854730827033124;0.008820247839792805;0.7771585279166201;0.43706524678173186;-0.010432637273677986;0.024142098927744236;1.006878278267429;0.9896215939312227;1.0244358787882715;False
descricao_tam_caracteres;descricao_tam_caracteres;;;100 caracteres adicionais;100.0;152.0835210975331;0;66.0;0.033780010262118784;0.02402516625856283;1.4060260769300283;0.15971638150735634;-0.013308450327251288;0.08086847085148885;1.0343570337644439;0.9867797155473726;1.0842282795654166;False
descricao_qtd_palavras;descricao_qtd_palavras;;;10 palavras adicionais;10.0;23.265825651591808;0;11.0;-0.019995920883803357;0.01861405619436907;-1.0742376983825972;0.2827161601863978;-0.05647880063097144;0.016486958863364723;0.9802026716591944;0.9450865195206724;1.016623618772087;False
qtd_itens_lote;qtd_itens_lote;;;10 itens adicionais no lote;10.0;29.01359275867481;0;1.0;-0.017961796927762532;0.014271844672703354;-1.2585476747877353;0.208193756890533;-0.04593409847921094;0.010010504623685877;0.9821985546438975;0.9551049029823645;1.0100607773368053;False
InfoReq;InfoReq;;;exigencia de informacao: 1 versus 0;1.0;0.02287510441585583;0;0.0;-0.2905828057717368;0.24467209860517933;-1.1876417761906;0.23497457158506396;-0.7701313070597211;0.18896569551624748;0.7478276023064786;0.46295227541797107;1.2079995119724767;False
ArqReq;ArqReq;;;exigencia de arquivo: 1 versus 0;1.0;0.021237105366000618;0;0.0;0.13532253130691663;0.3415093819565191;0.39624835643357487;0.6919218212684803;-0.5340235577103938;0.804668620324227;1.144905992833632;0.5862414416984421;2.2359554258544465;False
UF[AC];UF;AC;SP;categoria versus referencia;1.0;0.0;0;;-1.714317938052164;0.6114734819766967;-2.8035850917202927;0.005053789452708901;-2.9127839402277917;-0.5158519358765365;0.18008650898884665;0.05432428359986259;0.5969917791952616;True
UF[AM];UF;AM;SP;categoria versus referencia;1.0;0.0;0;;-1.5381245495705518;0.48957753277438104;-3.1417384307939384;0.001679480015785007;-2.4976788814483166;-0.578570217692787;0.21478353981437948;0.08227574892841452;0.5606994719104055;True
UF[BA];UF;BA;SP;categoria versus referencia;1.0;0.0;0;;-0.6108167143546401;0.1873897548592945;-3.2596057069036917;0.0011156719690915517;-0.9780938849506469;-0.24353954375863335;0.5429072877843806;0.3760271672226528;0.7838484791043466;True
UF[CE];UF;CE;SP;categoria versus referencia;1.0;0.0;0;;-0.905314767370539;0.29156025530779506;-3.105069195438912;0.001902345154773652;-1.4767623670971204;-0.3338671676439575;0.4044145685561706;0.22837589002178021;0.7161489036556167;True
UF[DF];UF;DF;SP;categoria versus referencia;1.0;0.0;0;;-1.6731780781762042;0.687514355661346;-2.4336627510369744;0.014946914195561989;-3.020681454126704;-0.3256747022257047;0.1876497514061177;0.04876797389894676;0.7220400272470259;True
UF[ES];UF;ES;SP;categoria versus referencia;1.0;0.0;0;;-0.49554115902867335;0.16633161963100004;-2.9792360594336262;0.0028896806386244;-0.8215451429956488;-0.16953717506169785;0.6092411217374738;0.4397516501072848;0.8440553760864369;True
UF[GO];UF;GO;SP;categoria versus referencia;1.0;0.0;0;;-1.3882423599342828;0.1476138300376025;-9.404554841376637;5.22509133383282e-21;-1.6775601504280004;-1.0989245694405652;0.2495134743259716;0.18682925568615566;0.3332292559940366;True
UF[MA];UF;MA;SP;categoria versus referencia;1.0;0.0;0;;-0.44677921566005724;1.108361456191567;-0.4030988385280306;0.6868755150154435;-2.619127751647897;1.7255693203277827;0.6396851251431166;0.07286639270745389;5.61571726175908;False
UF[MG];UF;MG;SP;categoria versus referencia;1.0;0.0;0;;-0.08246006702458081;0.10411727168362633;-0.7919921996721763;0.42836522449651127;-0.28652616969306044;0.1216060356438988;0.9208482093315105;0.7508674283038433;1.1293091065949346;False
UF[MS];UF;MS;SP;categoria versus referencia;1.0;0.0;0;;-0.15978567478339423;0.1342675888893392;-1.1900539520009297;0.23402518737866074;-0.4229453132975294;0.10337396373074093;0.8523264444414987;0.6551144581816787;1.1089060221791391;False
UF[MT];UF;MT;SP;categoria versus referencia;1.0;0.0;0;;0.08914830698939277;0.0883476582281743;1.0090624785905546;0.3129446712674524;-0.08400992125628262;0.2623065352350682;1.093242779849362;0.9194221342272489;1.2999249541640403;False
UF[PA];UF;PA;SP;categoria versus referencia;1.0;0.0;0;;-1.6622213610666918;0.5299309233171409;-3.136675532467321;0.0017087511619346912;-2.700866885062345;-0.6235758370710385;0.18971708154186603;0.0671472785294788;0.5360242710799022;True
UF[PB];UF;PB;SP;categoria versus referencia;1.0;0.0;0;;-2.212995683200813;0.786931317192475;-2.81218403036251;0.004920634159704019;-3.7553527232047292;-0.6706386431968967;0.10937251186775153;0.023392198182776772;0.5113818829163775;True
UF[PE];UF;PE;SP;categoria versus referencia;1.0;0.0;0;;-0.8483319974353596;0.3753298979416198;-2.26023027232249;0.023806962965152518;-1.5839650797220286;-0.11269891514869057;0.428128456065979;0.20516000753738173;0.8934196147367627;True
UF[PI];UF;PI;SP;categoria versus referencia;1.0;0.0;0;;-2.3841162051312814;0.44851758283421855;-5.3155468065841704;1.0633750987822012e-07;-3.26319451391931;-1.5050378963432527;0.09217040332254214;0.03826596141258566;0.22200888034779548;True
UF[PR];UF;PR;SP;categoria versus referencia;1.0;0.0;0;;-0.3479866692018812;0.08326884232073876;-4.1790741831319105;2.9269820641060772e-05;-0.5111906011848738;-0.18478273721888858;0.7061082891386958;0.5997810535063637;0.8312848714970056;True
UF[RJ];UF;RJ;SP;categoria versus referencia;1.0;0.0;0;;0.601899392398896;0.1839221075353963;3.27257772578024;0.0010657156602515295;0.24141868566881636;0.9623800991289757;1.8255830078930728;1.2730539331795463;2.617919973259988;True
UF[RN];UF;RN;SP;categoria versus referencia;1.0;0.0;0;;2.9823372236335826;0.5579810309751193;5.3448720620872985;9.0480939195634e-08;1.8887144988658204;4.075959948401344;19.733885290510717;6.610864942050149;58.90700113717145;True
UF[RO];UF;RO;SP;categoria versus referencia;1.0;0.0;0;;0.1697491078264747;0.4683636077129323;0.3624301825143441;0.7170305880547672;-0.7482266949601188;1.0877249106130682;1.1850075049124307;0.47320494587334344;2.9675150248210627;False
UF[RS];UF;RS;SP;categoria versus referencia;1.0;0.0;0;;0.3433210436873418;0.09281241062493104;3.6990855142719434;0.0002163776936967905;0.16141206154413432;0.5252300258305492;1.4096212392904808;1.1751691110573421;1.6908477423058086;True
UF[SC];UF;SC;SP;categoria versus referencia;1.0;0.0;0;;-0.274626061443819;0.1550397199119994;-1.771327125717828;0.0765063191897471;-0.5784983286445153;0.029246205756877308;0.7598562096401642;0.5607397815106996;1.0296780759395792;False
UF[SE];UF;SE;SP;categoria versus referencia;1.0;0.0;0;;1.3260330686716228;1.1318431439272465;1.171569643537867;0.2413698816948877;-0.892338729574365;3.5444048669176107;3.7660739590786876;0.40969646219634637;34.61907625273388;False
UF[TO];UF;TO;SP;categoria versus referencia;1.0;0.0;0;;0.097837973462037;0.4725158635472829;0.20705754242311636;0.8359649197393824;-0.82827610121448;1.023952048138554;1.1027840903439725;0.4368016394606616;2.784176248553911;False
Modalidade[CONCORRÊNCIA ELETRÔNICA];Modalidade;CONCORRÊNCIA ELETRÔNICA;PREGÃO ELETRÔNICO;categoria versus referencia;1.0;0.0;0;;-0.4532641839554096;0.43170596221680246;-1.0499372805228495;0.2937469498766434;-1.2993923218115517;0.39286395390073253;0.6355502092777833;0.27269745498977876;1.481216861844838;False
Modalidade[CREDENCIAMENTO];Modalidade;CREDENCIAMENTO;PREGÃO ELETRÔNICO;categoria versus referencia;1.0;0.0;0;;1.1475049147097673;0.4107781368821724;2.7934907232877335;0.005214252456372953;0.342394560784245;1.9526152686352898;3.1503227714331112;1.4083158541143352;7.047093544545347;True
Modalidade[DISPENSA ELETRÔNICA];Modalidade;DISPENSA ELETRÔNICA;PREGÃO ELETRÔNICO;categoria versus referencia;1.0;0.0;0;;0.70047582681127;0.08884328633578432;7.884397974246616;3.1605551121924574e-15;0.5263461853249531;0.8746054682975868;2.014711133004158;1.692736051698163;2.3979290482877254;True
Modalidade[LEILÃO ELETRÔNICO];Modalidade;LEILÃO ELETRÔNICO;PREGÃO ELETRÔNICO;categoria versus referencia;1.0;0.0;0;;0.49624104877270825;0.7826517149664721;0.6340509313187497;0.526047584155132;-1.0377281250000852;2.0302102225455014;1.6425354412554245;0.3542585996688194;7.615687179654409;False
Modalidade[LICITAÇÃO 13.303];Modalidade;LICITAÇÃO 13.303;PREGÃO ELETRÔNICO;categoria versus referencia;1.0;0.0;0;;0.003975159948574299;0.27876659632644174;0.014259814486235287;0.9886226997639103;-0.5423973289440672;0.5503476488412159;1.0039830713764728;0.5813528863654145;1.733855686022964;False
Modalidade[SELEÇÃO PÚBLICA];Modalidade;SELEÇÃO PÚBLICA;PREGÃO ELETRÔNICO;categoria versus referencia;1.0;0.0;0;;1.7514695760773795;0.588048083354406;2.9784461945466463;0.002897138908922457;0.5989165115249362;2.904022640629823;5.763065719453205;1.8201456248196175;18.247400666102305;True
