variavel;categoria;itens;insucessos;processos;sucessos
UF;AC;504;8.0;10;496.0
UF;AM;12409;305.0;216;12104.0
UF;BA;124499;6328.0;2815;118171.0
UF;CE;35295;1414.0;974;33881.0
UF;DF;237;32.0;57;205.0
UF;ES;9528;642.0;421;8886.0
UF;GO;36141;972.0;840;35169.0
UF;MA;12;1.0;5;11.0
UF;MG;65968;6359.0;2075;59609.0
UF;MS;34668;3380.0;1356;31288.0
UF;MT;50776;5524.0;1357;45252.0
UF;PA;2918;51.0;55;2867.0
UF;PB;3347;36.0;52;3311.0
UF;PE;5242;247.0;150;4995.0
UF;PI;9360;82.0;180;9278.0
UF;PR;236305;19081.0;8877;217224.0
UF;RJ;4946;1051.0;487;3895.0
UF;RN;336;205.0;10;131.0
UF;RO;10;1.0;3;9.0
UF;RS;51158;6862.0;2243;44296.0
UF;SC;30751;2311.0;1662;28440.0
UF;SE;8;2.0;2;6.0
UF;SP;232932;23842.0;9294;209090.0
UF;TO;1979;206.0;40;1773.0
Modalidade;CONCORRÊNCIA ELETRÔNICA;20792;742.0;2713;20050.0
Modalidade;CREDENCIAMENTO;619;232.0;61;387.0
Modalidade;DISPENSA ELETRÔNICA;28272;4906.0;5723;23366.0
Modalidade;LEILÃO ELETRÔNICO;2566;1000.0;91;1566.0
Modalidade;LICITAÇÃO 13.303;1098;106.0;58;992.0
Modalidade;PREGÃO ELETRÔNICO;895611;71891.0;24447;823720.0
Modalidade;SELEÇÃO PÚBLICA;371;65.0;88;306.0
TipoDisputa;MAIOR DESCONTO;4838;160.0;597;4678.0
TipoDisputa;MAIOR LANCE;3070;1229.0;279;1841.0
TipoDisputa;MELHOR TÉCNICA;22;6.0;9;16.0
TipoDisputa;MELHOR TÉCNICA E PREÇO;210;16.0;69;194.0
TipoDisputa;MENOR LANCE;941189;77531.0;32227;863658.0
TipoEncerramento;ABERTO;714017;58813.0;25538;655204.0
TipoEncerramento;ABERTO E FECHADO;224574;18631.0;6633;205943.0
TipoEncerramento;FECHADO;4245;1269.0;844;2976.0
TipoEncerramento;FECHADO E ABERTO;6493;229.0;166;6264.0
TipoLance;GLOBAL;310923;20366.0;10477;290557.0
TipoLance;KIT;20113;1329.0;785;18784.0
TipoLance;UNITÁRIO;618293;57247.0;22420;561046.0
tipo_lote_calc;Lote global;298264;17775.0;7217;280489.0
tipo_lote_calc;Lote global/kit;8379;753.0;1469;7626.0
tipo_lote_calc;Lote unitário;642686;60414.0;26991;582272.0
grupo_exclusividade_regionalidade;ME_EPP_E_REGIONAL_LOCAL;58659;4516.0;1233;54143.0
grupo_exclusividade_regionalidade;SEM_CRITERIO;603079;46253.0;24788;556826.0
grupo_exclusividade_regionalidade;SOMENTE_ME_EPP;263448;26849.0;9802;236599.0
grupo_exclusividade_regionalidade;SOMENTE_REGIONAL_LOCAL;24143;1324.0;662;22819.0
familia_textual_ml;FAMILIAS_RARAS_MENOS_100;262;12.0;171;250.0
familia_textual_ml;FAMILIA_02;3033;353.0;518;2680.0
familia_textual_ml;FAMILIA_05;478;35.0;222;443.0
familia_textual_ml;FAMILIA_07;2614;86.0;293;2528.0
familia_textual_ml;FAMILIA_09;469;158.0;66;311.0
familia_textual_ml;FAMILIA_10;2784;266.0;544;2518.0
familia_textual_ml;FAMILIA_12;261;13.0;177;248.0
familia_textual_ml;FAMILIA_13;935491;77587.0;33165;857904.0
familia_textual_ml;FAMILIA_14;427;153.0;80;274.0
familia_textual_ml;FAMILIA_16;1222;126.0;360;1096.0
familia_textual_ml;FAMILIA_17;176;11.0;136;165.0
familia_textual_ml;FAMILIA_18;379;9.0;205;370.0
familia_textual_ml;FAMILIA_19;1733;133.0;349;1600.0
