familia_textual_ml;termos_centrais
FAMILIA_00;macarrao / de kg / primeira qualidade / de primeira / primeira
FAMILIA_01;ligacao / 63 / amperes / feito / de material
FAMILIA_02;ml ampola / 50 mg / mg ml / ampola / mg
FAMILIA_03;modelo de / de / referencia / de referencia / 01
FAMILIA_04;cru / grs / com 500 / embalagem plastica / acondicionado em
FAMILIA_05;poste / de concreto / concreto / metros / de
FAMILIA_06;norma / luva / 2018 / iso / latex
FAMILIA_07;disjuntor / din / tripolar / 32 / caixa
FAMILIA_08;personalizada / 90g / colorida / em papel / impressao
FAMILIA_09;para me / 2mg / me epp / epp / me
FAMILIA_10;100 mg / acido / mg / 100 / mg comprimido
FAMILIA_11;80 / metros / papel / 20 / mm
FAMILIA_12;garrafa / termica / litro / rosca / 01
FAMILIA_13;de / com / para / em / do
FAMILIA_14;reparo / onibus / placa / bomba / vw
FAMILIA_15;de / com / angulo / eixo / principal
FAMILIA_16;valvula / reparo / valvula de / para / branca
FAMILIA_17;pe / saco / em aco / de / aco
FAMILIA_18;envelope / und / 100 / branco / sem
FAMILIA_19;250mg / comprimido / 5ml / acido / sodio
