variavel;qui_quadrado_wald;gl;p_valor
valor_cotado_log;0.2595716775191931;1;0.6104145708356998
descricao_tam_caracteres;1.5159751683911613;1;0.21822958776194723
descricao_qtd_palavras;0.8401499124016494;1;0.3593538993233377
qtd_itens_lote;1.7020715690783998;1;0.19201728375597052
InfoReq;0.25367276816421436;1;0.6145007594130616
ArqReq;0.01738666030125957;1;0.8950962253010722
Regiao;38.947181757821284;4;7.143663006147726e-08
Modalidade;69.6069276260932;6;4.922735131621355e-13
TipoDisputa;48.02508363162463;4;9.324883627554527e-10
TipoEncerramento;37.336244988126055;3;3.906068261403358e-08
TipoLance;19.552711426537826;2;5.677833600986029e-05
tipo_lote_calc;22.444220250576212;2;1.33751757472382e-05
grupo_exclusividade_regionalidade;7.752689121007444;3;0.05140918637266857
familia_textual_ml;90.68539287613706;12;3.63706491778945e-14
